id,centroid_x,centroid_y,area_px,equiv_diameter_px,solidity,eccentricity,teal_fraction,relative_blueness,median_hue,median_saturation,median_value,is_stained,stain_confidence,on_border,possible_doublet,is_debris,ambiguous,source,sam3_detect_score,sam3_stain_score
1,2838.462,25.508,3472,66.488,0.84,0.734,0.0,-10.0,24.0,119.0,146.0,False,-0.01,True,False,False,False,watershed,0.0,0.0
2,2936.858,18.894,4016,71.508,0.915,0.922,0.449,36.0,37.0,75.0,88.0,True,0.274,True,False,False,False,watershed,0.0,0.724
3,2755.481,12.545,882,33.511,0.921,0.846,0.0,-19.0,23.0,113.0,164.0,False,-0.01,True,False,False,False,watershed,0.0,0.0
4,2002.508,18.049,1175,38.679,0.943,0.593,0.526,36.0,40.0,71.0,110.0,True,0.516,True,False,False,False,watershed,0.0,0.0
5,2215.252,29.754,2591,57.437,0.894,0.816,0.497,34.0,39.0,75.5,111.0,False,-0.065,True,False,False,False,watershed,0.0,0.385
6,2127.921,41.189,5234,81.634,0.909,0.35,0.438,31.0,36.0,75.0,110.0,True,0.428,True,False,False,False,watershed,0.0,0.0
7,2747.989,52.277,5334,82.41,0.535,0.948,0.125,-15.0,24.0,115.0,160.0,True,0.173,True,False,True,False,watershed,0.0,0.623
8,3024.488,52.643,3989,71.267,0.825,0.646,0.242,10.0,28.0,92.0,129.0,True,0.274,False,False,False,False,watershed,0.0,0.724
9,2065.996,60.879,3138,63.209,0.856,0.226,0.0,-22.0,22.0,126.0,151.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
10,2602.904,90.461,6283,89.441,0.894,0.426,0.073,1.0,27.0,108.0,129.0,True,0.323,False,False,False,False,watershed,0.0,0.773
11,1703.7,109.725,2277,53.844,0.783,0.759,0.302,24.0,33.0,79.0,119.0,True,0.339,False,False,False,False,watershed,0.0,0.789
12,2245.169,103.298,2664,58.24,0.778,0.728,0.334,27.0,29.0,81.0,110.0,True,0.051,False,False,False,False,watershed,0.0,0.501
13,2181.839,101.719,3945,70.873,0.877,0.53,0.431,32.0,36.0,80.0,98.0,True,0.051,False,False,False,False,watershed,0.0,0.501
14,1775.54,108.859,3825,69.786,0.899,0.199,0.323,30.0,33.0,79.0,99.0,True,0.339,False,False,False,False,watershed,0.0,0.789
15,2022.724,108.257,5732,85.43,0.812,0.874,0.114,-5.0,27.0,107.0,138.0,True,0.104,False,False,False,False,watershed,0.0,0.0
16,2692.877,141.423,4106,72.304,0.72,0.882,0.246,20.0,34.0,84.0,126.0,True,0.297,False,False,False,False,watershed,0.0,0.747
17,1613.333,120.497,5013,79.892,0.859,0.658,0.345,32.0,34.0,72.0,103.5,True,0.296,False,False,False,False,watershed,0.0,0.746
18,1480.729,143.724,3922,70.666,0.898,0.241,0.684,53.0,55.0,66.0,81.0,True,0.42,False,False,False,False,watershed,0.0,0.87
19,2127.432,157.381,3506,66.813,0.814,0.738,0.277,-7.0,26.0,109.0,149.0,True,0.002,False,False,False,False,watershed,0.0,0.452
20,2839.572,176.228,4179,72.944,0.827,0.836,0.011,-19.0,24.0,115.0,160.0,True,0.001,False,False,False,False,watershed,0.0,0.0
21,2298.802,165.257,1201,39.104,0.914,0.762,0.348,34.0,35.0,70.0,99.0,True,0.14,False,False,False,False,watershed,0.0,0.59
22,2059.838,183.059,3582,67.533,0.709,0.823,0.0,-12.0,23.0,112.0,155.0,True,0.002,False,False,False,False,watershed,0.0,0.452
23,1681.028,168.073,3300,64.82,0.852,0.767,0.0,-12.0,24.0,114.0,154.0,True,0.074,False,False,False,False,watershed,0.0,0.524
24,2209.128,198.661,5601,84.448,0.723,0.834,0.004,-8.0,25.0,110.0,151.0,False,-0.004,False,False,False,False,watershed,0.0,0.446
25,2766.655,203.033,3014,61.948,0.945,0.59,0.0,-19.0,23.0,119.0,159.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
26,1599.53,213.708,2644,58.021,0.888,0.603,0.0,-26.0,22.0,126.0,165.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
27,2302.95,208.935,2694,58.567,0.847,0.722,0.2,5.0,26.0,105.0,123.0,True,0.14,False,False,False,False,watershed,0.0,0.59
28,2601.783,218.952,4425,75.061,0.78,0.464,0.318,25.0,32.0,85.0,104.5,True,0.318,False,False,False,False,watershed,0.0,0.768
29,2397.456,253.904,3632,68.003,0.781,0.805,0.473,33.0,39.0,77.0,114.0,True,0.374,False,False,False,False,watershed,0.0,0.824
30,2227.296,267.053,5150,80.976,0.958,0.571,0.925,57.0,62.0,62.0,71.0,True,0.374,False,False,False,False,watershed,0.0,0.824
31,1468.932,266.784,2457,55.932,0.94,0.412,0.0,-20.0,22.0,124.0,153.0,True,0.057,False,False,False,False,watershed,0.0,0.507
32,2651.154,276.699,2378,55.025,0.875,0.662,0.0,-28.0,22.0,127.0,169.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
33,2545.487,284.018,4268,73.717,0.789,0.651,0.07,-1.0,28.0,104.0,138.0,True,0.464,False,False,False,False,watershed,0.0,0.914
34,1026.621,288.54,2918,60.953,0.931,0.54,0.0,2.0,25.0,109.0,126.0,True,0.344,False,False,False,False,watershed,0.0,0.794
35,1682.9,310.086,4003,71.392,0.716,0.937,0.782,51.0,54.0,65.0,96.0,True,0.398,False,False,False,False,watershed,0.0,0.848
36,3067.446,327.824,3701,68.646,0.894,0.546,0.189,16.0,32.0,92.0,115.0,True,0.48,False,False,False,False,watershed,0.0,0.93
37,2691.566,345.621,3558,67.307,0.791,0.234,0.0,-25.0,22.0,127.0,163.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
38,2485.238,337.277,5698,85.176,0.835,0.779,0.01,-20.0,23.0,124.0,158.0,False,-0.019,False,False,False,False,watershed,0.0,0.431
39,838.959,360.033,2906,60.828,0.896,0.866,0.004,-7.0,24.0,113.5,143.0,False,-0.05,False,False,False,False,watershed,0.0,0.4
40,1625.206,355.282,3183,63.661,0.804,0.827,0.02,-9.0,25.0,113.0,148.0,True,0.235,False,False,False,False,watershed,0.0,0.685
41,3149.784,346.905,2086,51.536,0.893,0.646,0.0,-9.0,23.0,108.0,151.0,False,-0.065,False,False,False,False,watershed,0.0,0.385
42,2592.352,360.185,6963,94.157,0.686,0.516,0.628,55.0,55.0,64.0,72.0,True,0.464,False,False,True,False,watershed,0.0,0.914
43,2093.381,367.35,3994,71.311,0.787,0.797,0.328,21.0,34.0,90.0,114.0,True,0.456,False,False,False,False,watershed,0.0,0.906
44,2184.852,365.86,5234,81.634,0.912,0.564,0.0,-19.0,24.0,126.0,152.0,True,0.049,False,False,False,False,watershed,0.0,0.499
45,3063.299,400.158,6613,91.76,0.86,0.563,0.0,-22.0,22.0,124.0,159.0,True,0.48,False,False,False,False,watershed,0.0,0.93
46,1187.009,414.318,5174,81.165,0.803,0.819,0.593,48.0,47.0,57.0,85.0,True,0.433,False,False,False,False,watershed,0.0,0.883
47,3197.867,415.638,3733,68.942,0.651,0.725,0.624,46.0,48.0,69.0,97.0,True,0.614,False,False,True,False,watershed,0.0,0.0
48,1538.744,415.268,2533,56.79,0.935,0.812,0.251,21.0,32.0,91.0,112.0,True,0.065,False,False,False,False,watershed,0.0,0.515
49,2488.863,430.03,5975,87.222,0.82,0.417,0.53,39.0,40.0,75.0,95.0,True,0.324,False,False,False,False,watershed,0.0,0.774
50,2675.019,433.482,4525,75.904,0.812,0.689,0.553,37.5,43.0,78.0,115.0,True,0.288,False,False,False,False,watershed,0.0,0.738
51,2787.512,444.723,5213,81.47,0.721,0.82,0.0,-1.0,26.0,105.0,143.0,True,0.079,False,False,False,False,watershed,0.0,0.529
52,3128.591,435.743,4767,77.907,0.87,0.806,0.377,25.0,31.0,81.0,110.0,True,0.004,False,False,False,False,watershed,0.0,0.454
53,1868.302,440.52,1615,45.346,0.738,0.676,0.0,-5.0,23.0,102.0,152.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
54,2385.247,443.649,3946,70.882,0.836,0.651,0.0,-14.0,25.0,118.0,148.0,True,0.2,False,False,False,False,watershed,0.0,0.65
55,1638.615,460.043,6130,88.346,0.801,0.907,0.203,7.0,29.0,100.0,125.0,True,0.022,False,False,False,False,watershed,0.0,0.472
56,2020.624,461.281,8606,104.678,0.793,0.712,0.152,7.0,28.0,96.0,126.0,True,0.347,False,True,False,False,watershed,0.0,0.797
57,2194.461,449.999,4341,74.345,0.826,0.74,0.233,3.0,28.0,105.0,132.0,True,0.209,False,False,False,False,watershed,0.0,0.659
58,2863.473,454.39,5840,86.231,0.936,0.446,0.0,-28.0,21.0,140.0,155.0,True,0.058,False,False,False,False,watershed,0.0,0.508
59,1548.729,458.012,2172,52.588,0.925,0.668,0.0,4.0,28.0,105.0,129.0,True,0.065,False,False,False,False,watershed,0.0,0.515
60,2287.833,459.442,4738,77.67,0.792,0.525,0.151,-7.0,27.0,112.0,140.0,True,0.209,False,False,False,False,watershed,0.0,0.659
61,2519.557,498.28,4824,78.372,0.768,0.744,0.18,4.0,27.0,100.0,130.0,True,0.05,False,False,False,False,watershed,0.0,0.5
62,3182.633,493.156,5003,79.812,0.854,0.729,0.201,20.0,30.0,88.0,109.0,True,0.004,False,False,False,False,watershed,0.0,0.454
63,2722.848,512.395,5564,84.168,0.772,0.638,0.0,-35.0,21.0,135.0,164.0,True,0.259,False,False,False,False,watershed,0.0,0.709
64,3014.934,514.569,6218,88.978,0.839,0.497,0.392,25.0,34.0,88.0,105.0,True,0.355,False,False,False,False,watershed,0.0,0.805
65,2409.093,513.492,2669,58.295,0.884,0.708,0.338,23.0,36.0,82.0,128.0,True,0.063,False,False,False,False,watershed,0.0,0.513
66,2155.652,528.797,6080,87.985,0.794,0.728,0.0,-6.0,22.0,130.0,118.0,True,0.113,False,False,False,False,watershed,0.0,0.563
67,2316.939,525.425,3611,67.806,0.901,0.69,0.591,36.0,42.0,81.0,110.0,True,0.209,False,False,False,False,watershed,0.0,0.659
68,2853.09,550.413,5537,83.964,0.848,0.608,0.0,-25.0,23.0,128.0,155.0,True,0.079,False,False,False,False,watershed,0.0,0.529
69,2448.133,557.742,4026,71.597,0.93,0.556,0.028,-8.0,27.0,111.0,141.0,True,0.063,False,False,False,False,watershed,0.0,0.513
70,2082.349,567.856,3139,63.219,0.885,0.881,0.562,44.0,45.0,67.0,88.0,True,0.036,False,False,False,False,watershed,0.0,0.486
71,2947.869,570.073,2175,52.624,0.838,0.574,0.0,-4.0,27.0,106.0,145.0,False,-0.043,False,False,False,False,watershed,0.0,0.407
72,2776.249,574.479,7014,94.501,0.788,0.491,0.269,15.0,31.0,93.0,116.0,True,0.259,False,True,False,False,watershed,0.0,0.709
73,3181.932,591.722,3774,69.32,0.833,0.86,0.183,17.0,28.0,89.0,121.0,True,0.359,False,False,False,False,watershed,0.0,0.809
74,2668.82,588.896,1213,39.299,0.868,0.353,0.0,-25.0,23.0,119.0,174.0,True,0.077,False,False,False,False,watershed,0.0,0.527
75,2911.974,595.012,1289,40.512,0.883,0.671,0.206,0.5,26.0,102.5,140.0,True,0.058,False,False,False,False,watershed,0.0,0.508
76,1415.501,605.898,6630,91.878,0.898,0.5,0.207,8.0,29.0,104.0,119.0,True,0.339,False,False,False,False,watershed,0.0,0.789
77,1986.898,595.52,3688,68.525,0.74,0.8,0.074,-12.0,24.0,114.0,154.0,True,0.032,False,False,False,False,watershed,0.0,0.482
78,2489.538,607.236,4300,73.993,0.887,0.842,0.615,48.0,48.0,71.0,92.0,True,0.349,False,False,False,False,watershed,0.0,0.799
79,3044.348,601.597,4804,78.209,0.852,0.594,0.389,27.0,35.0,83.0,112.0,True,0.272,False,False,False,False,watershed,0.0,0.722
80,2308.0,613.376,4089,72.155,0.758,0.916,0.0,-15.0,22.0,140.0,126.0,True,0.113,False,False,False,False,watershed,0.0,0.563
81,2070.176,618.846,2003,50.5,0.822,0.482,0.171,4.0,28.0,98.0,139.0,True,0.036,False,False,False,False,watershed,0.0,0.486
82,2391.692,625.761,6032,87.637,0.915,0.472,0.947,62.0,69.0,73.0,67.0,True,0.349,False,False,False,False,watershed,0.0,0.799
83,2825.737,639.555,4914,79.099,0.897,0.7,0.034,4.0,29.0,104.0,128.0,True,0.208,False,False,False,False,watershed,0.0,0.658
84,2954.241,644.919,997,35.629,0.872,0.723,0.004,3.5,27.0,97.0,142.0,False,-0.006,False,False,False,False,watershed,0.0,0.0
85,1552.748,644.469,4229,73.379,0.956,0.211,0.0,-19.0,23.0,135.0,142.0,False,-0.069,False,False,False,False,watershed,0.0,0.381
86,1482.015,653.677,2916,60.932,0.819,0.553,0.086,0.0,27.0,109.0,130.0,True,0.339,False,False,False,False,watershed,0.0,0.789
87,3142.975,654.433,3486,66.622,0.908,0.743,0.226,7.0,27.0,98.0,129.0,True,0.27,False,False,False,False,watershed,0.0,0.72
88,2453.323,670.25,3964,71.043,0.916,0.439,0.663,45.0,48.0,75.0,97.0,True,0.31,False,False,False,False,watershed,0.0,0.76
89,1973.927,658.742,4863,78.688,0.735,0.799,0.059,-5.0,25.0,102.0,146.0,True,0.032,False,False,False,False,watershed,0.0,0.482
90,2914.819,668.146,2440,55.738,0.717,0.851,0.428,20.0,36.0,86.0,125.0,True,0.002,False,False,False,False,watershed,0.0,0.452
91,3179.937,682.857,2830,60.027,0.892,0.728,0.061,13.0,29.0,91.0,126.0,True,0.255,False,False,False,False,watershed,0.0,0.705
92,2747.605,682.869,5215,81.486,0.843,0.734,0.113,2.0,28.0,99.0,135.0,True,0.254,False,False,False,False,watershed,0.0,0.704
93,3411.674,687.719,1845,48.468,0.905,0.448,0.562,44.0,44.0,74.0,92.0,True,0.359,False,False,False,False,watershed,0.0,0.809
94,1470.229,703.939,2697,58.6,0.877,0.57,0.548,46.0,43.0,62.0,73.0,True,0.339,False,False,False,False,watershed,0.0,0.789
95,2163.982,692.568,4738,77.67,0.669,0.664,0.0,-17.0,23.0,117.0,160.0,False,-0.01,False,False,True,False,watershed,0.0,0.0
96,3064.716,698.567,3830,69.832,0.935,0.46,0.0,-18.0,22.0,120.0,155.0,False,-0.066,False,False,False,False,watershed,0.0,0.384
97,1585.424,716.452,3462,66.392,0.844,0.711,0.211,22.0,29.0,86.0,108.0,False,-0.069,False,False,False,False,watershed,0.0,0.381
98,3442.675,720.518,1617,45.374,0.92,0.596,0.671,48.0,48.0,67.0,89.0,True,0.359,False,False,False,False,watershed,0.0,0.809
99,2463.122,717.29,1251,39.91,0.836,0.665,0.096,23.0,33.0,79.0,122.0,True,0.31,False,False,False,False,watershed,0.0,0.76
100,1699.662,718.03,3254,64.367,0.78,0.9,0.536,39.0,41.0,68.0,110.0,True,0.072,False,False,False,False,watershed,0.0,0.522
101,1039.871,724.316,2512,56.554,0.885,0.783,0.617,41.0,42.0,64.0,105.0,True,0.366,False,False,False,False,watershed,0.0,0.816
102,2331.644,718.826,2079,51.45,0.583,0.91,0.252,13.0,29.0,88.0,133.0,False,-0.038,False,False,True,False,watershed,0.0,0.412
103,2930.09,738.92,6565,91.427,0.762,0.712,0.0,5.0,27.0,101.0,126.0,True,0.252,False,False,False,False,watershed,0.0,0.702
104,1860.008,730.08,5685,85.079,0.897,0.758,0.701,45.0,47.0,72.0,95.0,True,0.41,False,False,False,False,watershed,0.0,0.86
105,2833.236,737.564,5166,81.102,0.722,0.812,0.312,24.0,35.0,85.0,117.0,True,0.302,False,False,False,False,watershed,0.0,0.0
106,3356.815,772.459,3670,68.358,0.846,0.923,0.45,34.0,37.0,72.0,115.0,True,0.399,False,False,False,False,watershed,0.0,0.849
107,3016.044,768.406,1170,38.597,0.858,0.716,0.452,23.0,36.0,83.0,129.0,False,-0.082,False,False,False,False,watershed,0.0,0.368
108,2250.831,767.783,1298,40.653,0.833,0.769,0.0,-5.0,23.0,100.0,156.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
109,2400.292,772.944,1153,38.315,0.819,0.727,0.0,-5.0,23.0,104.0,151.0,False,-0.038,False,False,False,False,watershed,0.0,0.412
110,3309.395,775.167,2823,59.953,0.907,0.81,0.766,57.0,61.0,72.0,89.0,True,0.399,False,False,False,False,watershed,0.0,0.849
111,1516.095,783.803,8005,100.957,0.864,0.738,0.022,10.0,28.0,100.0,120.0,True,0.182,False,True,False,False,watershed,0.0,0.632
112,1413.541,783.202,3796,69.521,0.91,0.728,0.0,-18.0,22.0,125.0,145.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
113,2756.176,780.967,4427,75.078,0.811,0.743,0.253,23.0,32.0,89.0,112.0,True,0.254,False,False,False,False,watershed,0.0,0.704
114,3064.093,794.068,2670,58.306,0.811,0.845,0.12,6.0,29.0,95.0,138.0,False,-0.082,False,False,False,False,watershed,0.0,0.368
115,2976.881,799.388,1996,50.412,0.691,0.692,0.0,-18.0,24.0,115.0,160.0,False,-0.082,False,False,True,False,watershed,0.0,0.368
116,2442.306,807.52,4297,73.967,0.853,0.679,0.231,10.0,29.0,98.0,124.0,True,0.278,False,False,False,False,watershed,0.0,0.728
117,2756.508,831.444,2844,60.176,0.721,0.779,0.226,0.0,25.0,100.0,143.0,True,0.191,False,False,False,False,watershed,0.0,0.641
118,2273.653,826.322,5103,80.606,0.844,0.465,0.43,37.0,36.0,75.0,99.0,True,0.171,False,False,False,False,watershed,0.0,0.621
119,3150.447,842.182,1154,38.332,0.914,0.696,0.132,44.0,27.0,73.0,52.0,True,0.122,False,False,False,False,watershed,0.0,0.0
120,1384.533,856.522,3697,68.609,0.955,0.356,0.749,50.0,50.0,62.0,74.0,True,0.322,False,False,False,False,watershed,0.0,0.772
121,2913.548,856.449,2093,51.623,0.846,0.658,0.0,-5.0,23.0,102.0,154.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
122,2032.023,851.789,8459,103.78,0.824,0.567,0.0,-19.0,24.0,128.0,148.0,False,-0.01,False,True,False,False,watershed,0.0,0.0
123,860.646,858.069,3002,61.824,0.923,0.587,0.0,-11.0,23.0,121.0,139.0,True,0.041,False,False,False,False,watershed,0.0,0.491
124,2971.415,863.364,3175,63.581,0.786,0.733,0.521,35.0,41.0,77.0,113.0,False,-0.082,False,False,False,False,watershed,0.0,0.368
125,2835.022,863.619,6714,92.458,0.823,0.573,0.583,48.0,46.0,62.0,80.0,True,0.573,False,False,False,False,watershed,0.0,0.0
126,2326.618,869.667,4527,75.921,0.819,0.77,0.309,10.0,31.0,95.0,128.0,True,0.067,False,False,False,False,watershed,0.0,0.517
127,2481.729,874.228,3355,65.358,0.815,0.702,0.0,-22.0,23.0,128.0,156.0,True,0.278,False,False,False,False,watershed,0.0,0.728
128,2409.267,872.959,4934,79.26,0.915,0.384,0.892,52.0,54.0,65.0,76.0,True,0.278,False,False,False,False,watershed,0.0,0.728
129,2200.581,886.726,5375,82.726,0.833,0.515,0.454,37.0,38.0,75.0,102.0,True,0.05,False,False,False,False,watershed,0.0,0.5
130,2579.059,893.418,1949,49.815,0.857,0.64,0.072,-6.0,26.0,109.0,145.0,True,0.266,False,False,False,False,watershed,0.0,0.716
131,1056.942,901.806,1606,45.22,0.907,0.926,0.428,52.0,45.0,44.0,75.0,True,0.078,False,False,False,False,watershed,0.0,0.528
132,2947.193,924.308,3048,62.296,0.871,0.802,0.75,55.0,59.0,73.0,79.0,True,0.252,False,False,False,False,watershed,0.0,0.702
133,3058.692,905.803,5009,79.86,0.83,0.583,0.168,-1.0,26.0,109.0,136.0,False,-0.096,False,False,False,False,watershed,0.0,0.354
134,2124.388,912.103,4743,77.711,0.827,0.291,0.029,-22.0,23.0,121.0,164.0,True,0.019,False,False,False,False,watershed,0.0,0.0
135,2535.879,914.365,2351,54.712,0.855,0.534,0.608,42.0,43.0,70.0,94.0,True,0.266,False,False,False,False,watershed,0.0,0.716
136,3175.126,916.532,2707,58.708,0.931,0.523,0.0,-24.0,21.0,123.0,165.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
137,1362.146,923.258,2768,59.366,0.802,0.75,0.357,18.0,32.0,89.0,113.0,True,0.043,False,False,False,False,watershed,0.0,0.493
138,2377.261,936.326,3959,70.998,0.923,0.744,0.01,-16.0,23.0,121.0,151.0,True,0.278,False,False,False,False,watershed,0.0,0.728
139,2041.421,946.65,3973,71.124,0.866,0.761,0.0,-22.0,23.0,121.0,162.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
140,1330.873,943.318,1074,36.979,0.906,0.685,0.0,-1.0,26.0,108.0,132.0,True,0.043,False,False,False,False,watershed,0.0,0.493
141,2778.279,962.928,5444,83.256,0.768,0.408,0.028,-15.0,23.0,118.0,153.0,True,0.018,False,False,False,False,watershed,0.0,0.0
142,2271.141,960.632,4391,74.772,0.901,0.854,0.553,39.0,43.0,71.0,107.0,True,0.17,False,False,False,False,watershed,0.0,0.62
143,1101.443,1005.282,3569,67.411,0.593,0.989,0.527,46.0,45.0,60.0,99.0,True,0.078,False,False,True,False,watershed,0.0,0.528
144,2998.681,979.228,3876,70.25,0.752,0.752,0.18,9.0,27.0,96.0,134.0,True,0.233,False,False,False,False,watershed,0.0,0.683
145,2599.625,968.31,6197,88.827,0.628,0.58,0.0,-25.0,22.0,131.0,152.0,True,0.266,False,False,True,False,watershed,0.0,0.716
146,2712.235,965.42,4091,72.172,0.653,0.895,0.0,-10.0,23.0,113.0,152.0,True,0.003,False,False,True,False,watershed,0.0,0.453
147,1501.172,989.88,1718,46.77,0.753,0.746,0.0,-1.0,25.0,104.0,138.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
148,3102.952,990.859,3607,67.769,0.861,0.641,0.0,-9.0,24.0,110.0,152.0,False,-0.01,False,False,False,False,watershed,0.0,0.0
